Date,cad_oas,us_hy_oas,us_ig_oas,tsx,vix,us_3m_10y,us_growth_surprises,us_inflation_surprises,us_lei_yoy,us_hard_data_surprises,us_equity_revisions,us_economic_regime,cad_ig_er_index,us_hy_er_index,us_ig_er_index,spx_1bf_eps,spx_1bf_sales,tsx_1bf_eps,tsx_1bf_sales
2004-01-12,64.178197,372.4294,94.509693,8380.37,16.82,411.376,0.54721,-0.35208,7.3,0.393,0.02,1.0,102.90474710520411,110.82188540621766,103.25997566366335,63.4489,687.1417,565.8579,6113.5497
2004-01-13,62.186854,377.223399,95.287393,8380.34,18.04,405.401,0.54448,-0.36817,7.3,0.393,0.02,1.0,102.925499275814,110.62418216783077,103.22146939693307,63.4803,687.3022,565.8579,6113.5497
2004-01-14,61.852783,376.060049,94.363945,8403.77,16.75,403.763,0.56321,-0.36633,7.3,0.393,0.02,1.0,102.9522504018615,110.6328494490386,103.28836668192878,63.5056,687.2328,565.8579,6113.5497
2004-01-15,61.836117,374.936082,92.195634,8423.94,15.56,398.048,0.57578,-0.3447,7.3,0.3712,0.02,1.0,103.00899836129446,110.70840946272496,103.42634420284647,63.5175,687.327,565.8579,6113.5497
2004-01-16,64.525331,367.408152,91.928945,8522.26,15.0,402.171,0.5975,-0.34297,7.3,0.3327,0.0,1.0,103.06610512714516,111.0716482356509,103.43530560499116,63.578,687.4057,565.8579,6113.5497
2004-01-19,64.525331,367.408152,91.928945,8580.36,15.0,402.171,0.59451,-0.34126,7.3,0.3327,0.0,1.0,103.06610512714516,111.0716482356509,103.43530560499116,63.6777,686.8766,565.8579,6113.5497
2004-01-20,55.443449,361.564347,91.857264,8623.62,15.21,405.7,0.58705,-0.33955,7.3,0.2973,0.0,1.0,103.0451010723738,111.3667775463474,103.43486491413367,63.775,687.3742,565.8579,6113.5497
2004-01-21,56.180454,360.491642,92.079148,8621.88,14.34,404.402,0.60915,-0.33785,7.3,0.314,0.0,1.0,103.02755656945295,111.43948427396013,103.42737729780752,63.8305,688.3561,565.8579,6113.5497
2004-01-22,54.6445,363.422801,91.810029,8589.11,14.71,397.798,0.60816,-0.33616,7.3,0.315,0.0,1.0,103.02157920408628,111.31007465149474,103.46464199287131,63.8691,687.753,565.8579,6113.5497
2004-01-23,69.15961,352.868297,91.471899,8604.73,14.84,406.111,0.60512,-0.33448,7.3,0.315,0.16,1.0,103.2245628828841,111.82541670097054,103.4607831096951,63.9441,688.8973,565.8579,6113.5497
