feature,score
spx_1bf_eps,0.2102710381607784
spx_1bf_sales,0.17830585376564612
cad_oas_max_60d,0.15382990893202653
cad_oas_min_60d,0.1499825006527793
us_hard_data_surprises,0.14081225893041527
us_lei_yoy,0.13252255854793837
bb_upper,0.12969450146254902
bb_lower,0.11601402800473815
drawdown_duration,0.10724089143312932
volatility_60d,0.09704348712635635
us_ig_oas_change_10d,0.09299188933607483
tsx_1bf_sales,0.09075347863310346
us_hy_er_momentum_20d,0.08316934781650409
us_ig_oas_pct_change_10d,0.07990274067760006
distance_from_ma_20,0.07750693001085751
bb_position,0.07750693001085751
us_ig_er_momentum_20d,0.07624083842283125
us_ig_oas_change_20d,0.07122497247402815
momentum_10d,0.07037747168732
us_hy_oas_pct_change_10d,0.07010983379988889
us_hy_oas_pct_change_20d,0.06940360836956128
us_ig_oas_pct_change_20d,0.06898290798776108
rsi_28,0.06811351948440869
momentum_20d_x_vol,0.06627768713081994
us_hy_oas_zscore,0.06481562395919549
us_hy_oas_change_20d,0.06318024972651215
rsi_14,0.06306272231364929
distance_from_ma_60,0.062422063341476486
vix_zscore,0.06219031464512592
cad_oas_lag_1,0.060777801127464226
us_hy_oas_change_10d,0.06013100632731949
us_hy_oas_momentum_10d,0.06008687959534531
cad_us_ig_spread_ratio,0.05773451486707071
us_inflation_surprises,0.05748952503115223
drawdown,0.05711298403881604
cad_oas,0.05646790030994997
us_ig_er_index,0.05474489611868405
us_ig_oas_pct_change_5d,0.05471006647730814
momentum_20d_lag_1,0.05459263496757738
vix_x_spread_change,0.054505853528712844
cad_oas_pct_change_5d,0.05440574850252489
cad_oas_change_10d,0.05328659977359007
cad_oas_momentum_10d,0.0532336476952211
momentum_120d,0.052753483752942865
inflation_surprise_momentum,0.05192049714170843
tsx_1bf_eps,0.05149444587717489
us_ig_oas,0.05128698407448029
momentum_40d,0.05105886872314169
econ_regime_x_cad_oas,0.05097299135631683
cad_oas_lag_10,0.050623959574362054
vix_regime_x_momentum,0.05061156210065576
cad_oas_lag_5,0.0506066012608164
vix_regime,0.050089522024042044
vix_rank_252d,0.050064285526016494
momentum_5d,0.04966039443625481
us_ig_oas_change_1d,0.04959459013986556
momentum_60d,0.049406166198338264
us_hy_er_index,0.04789689882344894
us_hy_oas_pct_change_5d,0.04706670304130611
cad_oas_change_5d,0.04680925855089124
us_ig_oas_zscore,0.04673365152462372
momentum_5d_rank,0.046278269522896265
cad_us_ig_relative_momentum,0.04620898378756633
us_growth_surprises_cumsum_60d,0.045865814383782455
us_ig_oas_pct_change_1d,0.045782582464525046
tsx_momentum_20d,0.044984249007473665
momentum_10d_rank,0.044213717619106196
us_ig_oas_change_5d,0.043396108866087024
hy_ig_spread_ratio,0.043343640648413784
momentum_20d,0.0432227593357295
cad_ig_er_momentum_20d,0.0432227593357295
us_inflation_surprises_cumsum_60d,0.04306909806212755
cad_oas_pct_change_10d,0.04296972861828552
tsx,0.042604068850809584
cad_oas_zscore,0.04223471646470567
tsx_momentum_60d,0.04194711467513579
down_streak,0.04180340623748524
vix,0.04155954859331712
us_hy_oas_lag_10,0.04121500019220803
returns_skew_60d,0.038107241085783894
cad_oas_change_20d,0.03735320118250396
volatility_20d_lag_5,0.03730902388780444
up_streak,0.03724567547086943
us_3m_10y,0.03677944009738021
us_equity_revisions,0.03676321064810839
us_hy_oas,0.03665934466252341
spread_widening,0.036636293499297645
us_hy_oas_lag_1,0.03640572768869732
cad_oas_range_position,0.036351040802721224
us_hy_oas_change_5d,0.03628040723481707
volatility_20d_lag_1,0.03615800415835979
us_hy_oas_lag_5,0.0359069900210045
volatility_20d,0.03540403198762987
vix_x_cad_oas,0.035094061659159514
vix_ma_20,0.03414557786046157
momentum_20d_rank,0.03403371973329339
cad_oas_rank_252d,0.03383133166093
vix_lag_1,0.0322454327698527
momentum_60d_rank,0.03180863115388499
growth_x_inflation_surprise,0.03169981508996633
cad_oas_pct_change_20d,0.03128229151572315
combined_surprise_index,0.03090952008695469
us_hard_data_surprises_cumsum_20d,0.030365531482489327
us_hard_data_surprises_ma_20d,0.030007044765781865
spx_sales_change_20d,0.029272992854036728
us_equity_revisions_change_5d,0.029196104967524228
us_3m_10y_change_20d,0.029087669731770127
momentum_20d_lag_5,0.028890866470512755
returns_kurt_60d,0.02871283540849645
us_equity_revisions_change_20d,0.02843834513291732
cad_oas_pct_change_1d,0.028131879563231488
us_hy_oas_pct_change_1d,0.02811603708947885
volatility_20d_lag_10,0.02771178609498448
vix_ma_60,0.027473200283749888
us_hard_data_surprises_cumsum_60d,0.026612684527263175
vix_lag_10,0.0250680946902746
momentum_20d_lag_10,0.02335037710930643
momentum_40d_rank,0.023084185246035283
up_day,0.022266703440135593
vix_lag_5,0.0212403183020633
volatility_ratio,0.020060933214055554
us_economic_regime,0.0196888052849038
tsx_eps_change_20d,0.019482801221763157
us_inflation_surprises_ma_20d,0.019228197450311235
us_inflation_surprises_cumsum_20d,0.01908951343553489
us_hy_oas_change_1d,0.019081217479418155
spx_eps_change_20d,0.019043646210170184
cad_us_ig_corr_60d,0.016294866266715724
high_vol_regime,0.015521061027237382
us_growth_surprises_cumsum_20d,0.015258770326030069
us_growth_surprises_ma_20d,0.015216649354599987
us_growth_surprises,0.013655111605098691
tsx_sales_change_20d,0.013196191345258956
us_3m_10y_change_5d,0.011152688090281027
high_vol_x_momentum,0.00915465751372646
momentum_120d_rank,0.007995330063482964
growth_surprise_momentum,0.0053376002967258085
cad_oas_change_1d,0.005068301191978097
economic_regime_change,0.0025480977390164306
curve_steepening,0.0
